sheet,row,column,message,level
mainTimeline,,,Unable to find timing reference for instance with name 'RUN-IN-1',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'RUN-IN-2',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'RUN-IN-3',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D1',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D2-3',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D4-7',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D8',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D9',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D10-22',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D23',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D24',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D25',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D26-28',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D29',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D30-35',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D36',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D37-38',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D39',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'D40',Warning
mainTimeline,,,Unable to find timing reference for instance with name 'EOS',Warning
,,,Timing with name 'TIM1' not referenced,Error
,,,Timing with name 'TIM2' not referenced,Error
,,,Timing with name 'TIM3' not referenced,Error
,,,Timing with name 'TIM4' not referenced,Error
,,,Timing with name 'TIM5' not referenced,Error
,,,Timing with name 'TIM6' not referenced,Error
,,,Timing with name 'TIM7' not referenced,Error
,,,Timing with name 'TIM8' not referenced,Error
,,,Timing with name 'TIM9' not referenced,Error
,,,Timing with name 'TIM10' not referenced,Error
,,,Timing with name 'TIM11' not referenced,Error
,,,Timing with name 'TIM12' not referenced,Error
,,,Timing with name 'TIM13' not referenced,Error
,,,Timing with name 'TIM14' not referenced,Error
,,,Timing with name 'TIM15' not referenced,Error
,,,Timing with name 'TIM16' not referenced,Error
dictionaries,4,7,"Failed to translate reference path 'label', could not find start instance 'Activity', 'MMSE'",Error
dictionaries,5,7,"Failed to translate reference path 'label', could not find start instance 'Activity', 'Hachinski'",Error
studyDesignConditions,1,5,Could not resolve condition reference 'SCREEN1',Error
studyDesignConditions,1,6,Could not resolve condition reference 'Hemoglobin A1C',Error
studyDesignConditions,1,6,"No condition references found for 'Hemoglobin A1C', at least one required",Error
studyDesignConditions,2,5,Could not resolve condition reference 'SCREEN1',Error
