sectionNumber,name,sectionTitle,text
3.7.,,Blinding,"<p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient's therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient's therapy assignment. If a patient's therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p>"
3.8.,,Concomitant Therapy,"<p>Intermittent use of chloral hydrate, zolpidem, or lorazepam is permitted during this clinical trial as indicated for agitation or sleep. If medication is required for agitation for a period exceeding 1 week, a review of the patient's status should be made in consultation with the CRO research physician. Caregivers and patients should be reminded that these medications should not be taken within 24 hours of a clinic visit (including the enrollment visit), and administration of efficacy measures should be deferred if the patient has been treated with these medications within the previous 24 hours.</p>
<p>If an antihistamine is required during the study, Claritin® (loratadine) or Allegra® (fexofenadine hydrochloride) are the preferred agents, but should not be taken within 24 hours of a clinic visit. Intermittent use (per package insert) of antitussives (containing antihistamines or codeine) and select narcotic analgesics (acetaminophen with oxycodone, acetaminophen with codeine) are permitted during the trial. Caregivers and patients should be reminded that antihistamines and narcotics should not be taken within 3 days of a clinic efficacy visit (including enrollment visit). If an H <span class=""s28"">2</span> blocker is required during the study, Axid® (nizatidine) will be permitted on a case-by-case basis by the CRO medical monitor. For prostatic hypertrophy, small doses (2 mg per day) of Hytrin® (terazosin) or Cardura® (doxazosin) will be permitted on a case-by-case basis. Please consult the medical monitor. The calcium channel blockers Cardene® (nicardipine),</p>
<p>Norvasc® (amlodipine), and DynaCirc® (isradipine) are allowed during the study. If a patient has been treated with any medication within disallowed time periods prior to the clinic visit, efficacy measures should be deferred.</p>
<p>Other classes of medications not stated in Exclusion Criteria, Section 3.4.2.2, will be permitted. Patients who require treatment with an excluded medication (Section 3.4.2.2) will be discontinued from the study following consultation with the CRO research physician.</p>"
3.9.,,"Efficacy, Pharmacokinetic, and Safety Evaluations",
3.9.1.,,Efficacy,"<p>See Schedule of Events, Attachment LZZT.1 for the times of the study at which efficacy data will be collected.</p>"
3.9.1.1.,,Efficacy Measures,"<p>The following measures will be performed in the course of the study. At Visits 3, 8, 10, and 12, ADAS-Cog, CIBIC+, and DAD will be administered. NPI-X will be administered at 2-week intervals either at clinic visits or via a telephone interview. Efficacy measures will also be collected at early termination visits, and at the retrieval visit. The neuropsychological assessment should be performed first; other protocol requirements, such as labs and the physical, should follow.</p>
<p><b>a)</b> <b>Alzheimer's Disease Assessment Scale - Cognitive Subscale</b><br/>
<b>(ADAS-Cog):</b> ADAS-Cog is an established measure of cognitive<br/>
function in Alzheimer's Disease. This scale has been incorporated into<br/>
this study by permission of Dr. Richard C. Mohs and the American<br/>
Journal of Psychiatry and was adapted from an article entitled, “The<br/>
Alzheimer's Disease Assessment Scale (ADAS),” which was<br/>
published in the American Journal of Psychiatry, Volume No.141,<br/>
pages 1356-1364, November, 1984, Copyright 1984.</p>
<p><b>The ADAS-Cog (11) and the ADAS-Cog (14):</b> The ADAS-Cog (11) is a standard 11-item instrument used to assess word recall, naming objects, commands, constructional praxis, ideational praxis, orientation, word recognition tasks, spoken language ability, comprehension, word finding difficulty, and recall of test instructions. For the purposes of this study, three items (delayed word recall, attention/visual search task, and maze solution) have been added to the ADAS-Cog (11) to assess the patient's attention and concentration. The 14 item instrument will be referred to as the ADAS-Cog (14). At each efficacy visit, all 14 items will be assessed, and in subsequent data analyses, performance on the ADAS-Cog (14) and performance on the subset ADAS-Cog (11) will be considered.</p>
<p>b) <b>Video-referenced Clinician's Interview-Based Impression of Change (CIBIC+):</b> The CIBIC+ is an assessment of the global clinical status relative to baseline. The CIBIC+ used in this study is derived from the Clinical Global Impression of Change, an instrument in the public domain, developed by the National Institute on Aging Alzheimer's Disease Study Units Program (1 U01 AG10483; Leon Thal, Principal Investigator). The instrument employs semi-structured interviews with the patient and caregiver, to assess mental/cognitive state, behavior, and function. These domains are not individually scored, but rather are aggregated in the assignment of a global numeric score on a 1 to 7 scale (1 = marked improvement; 4 = no change; and 7 = marked worsening).</p>
<p>The clinician assessing CIBIC+ will have at least one year of experience with the instrument and will remain blinded to all other efficacy and safety measures.</p>
<p>c) <b>Revised Neuropsychiatric Inventory (NPI-X):</b> The NPI-X is an assessment of change in psychopathology in patients with dementia. The NPI-X is administered to the designated caregiver. This instrument has been revised from its original version (Cummings et al. 1994) and incorporated into this study with the permission of Dr. Jeffrey L. Cummings.</p>
<p>d) <b>Disability Assessment for Dementia (DAD):</b> The DAD is used to assess functional abilities of activities of daily living (ADL) in individuals with cognitive impairment. This scale has been revised and incorporated into this study by permission of Louise Gauthier, M.Sc., and Dr. Isabelle Gelinas. The DAD is administered to the designated caregiver.</p>
<p>For each instrument, each assessment is to be performed by the same trained health care professional. If circumstances preclude meeting this requirement, the situation is to be documented on the Clinical Report Form (CRF), and the CRO research physician is to be notified.</p>
<p>In addition to the efficacy measures noted above, a survey form will be used to collect information from the caregiver on TTS acceptability (Attachment LZZT.9).</p>"
3.9.1.2.,,Efficacy Criteria,"<p>Group mean changes from baseline in the primary efficacy parameters will serve as efficacy criteria. The ADAS-Cog (11) and the video-referenced CIBIC+ will serve as the primary efficacy instruments. Secondary efficacy instruments will include the DAD, the NPI-X, and the ADAS-Cog (14). The procedures and types of analyses to be done are outlined in Section 4.</p>
<p>The primary analysis of efficacy will include only the data obtained up to and including the visit of discontinuation of study drug. Furthermore, the primary analysis will not include efficacy data obtained at any visit where the study drug was not administered in the preceding three days. Analyses that include the retrieved dropouts are considered secondary.</p>"
3.9.2.,,Pharmacokinetics,"<p>Blood samples (7 mL) for the determination of xanomeline concentrations in plasma will be collected from each patient at Visits 3, 4, 5, 7, 9, and 11. The blood sample drawn at Visit 3 is a baseline sample. The remaining 5 clinic visits should be scheduled so that 1 blood sample is collected at any time during each of the following intervals: early AM visit (hold application of new patch until after blood sample is collected); 9AM to 11AM; 11AM to 1PM; 1PM to 3PM; and 3PM to 5PM. Collection of blood samples during each of these intervals should not occur in any particular order, nor should they occur in the same order for each patient. Every effort should be made to comply with the suggested sampling times. This blood-sampling schedule is based on a sparse sampling strategy where only a few samples will be collected from each patient. The most crucial aspect of the sampling design is to record the date and exact time the sample was drawn and to record the date and time of patch application on the day of the clinic visit and the previous 2 days.</p>
<p>If a patient is discontinued from the study prior to protocol completion, a pharmacokinetic blood sample should be drawn at the early discontinuation visit. The date and exact time the sample was drawn and the date of the last patch application should be recorded.</p>
<p>Immediately after collection, each sample will be centrifuged at approximately 177 × <i>G</i> for 15 minutes. The plasma will be transferred into a polypropylene tube bearing the identical label as the blood collection tube. Samples will be capped and frozen at approximately <span class=""s23"">−</span>20°C. Care must be taken to insure that the samples remain frozen during transit.</p>
<p>The samples will be shipped on dry ice to Central Laboratory.</p>"
3.9.3.,,Safety,"<p>Investigators are responsible for monitoring the safety of patients who have entered this study and for alerting CRO to any event that seems unusual, even if this event may be considered an unanticipated benefit to the patient. See Section 3.9.3.2.1.</p>
<p>Investigators must ensure that appropriate medical care is maintained throughout the study and after the trial (for example, to follow adverse events).</p>"
3.9.3.1.,,Safety Measures,"<p>Safety measures will be performed at designated times by recording adverse events, laboratory test results, vital signs (including supine/standing pulse and blood pressure readings) ECG monitoring, and Ambulatory ECGs (see Schedule of Events, Attachment LZZT.1).</p>"
3.9.3.2.,,Clinical Adverse Events,"<p>Lilly has standards for reporting adverse events that are to be followed, regardless of applicable regulatory requirements that are less stringent. For purposes of collecting and evaluating <i>all</i> information about Lilly drugs used in clinical trials, an adverse event is defined as any undesirable experience or an unanticipated benefit (see Section 3.9.3.2.1) that occurs after informed consent for the study has been obtained, without regard to treatment group assignment, even if no study medication has been taken. Lack of drug effect is not an adverse event in clinical trials, because the purpose of the clinical trial is to establish drug effect.</p>
<p>At the first visit, study site personnel will question the patient and will note the occurrence and nature of presenting condition(s) and of any preexisting condition(s). At subsequent visits, site personnel will again question the patient and will note any change in the presenting condition(s), any change in the preexisting condition(s), and/or the occurrence and nature of any adverse events.</p>"
3.9.3.2.1.,,Adverse Event Reporting Requirements,"<p>All adverse events must be reported to CRO via case report form.</p>
<p>Study site personnel must report to CRO immediately, by telephone, any <b>serious</b> adverse event (see Section 3.9.3.2.2 below), or if the investigator <b>unblinds</b> a patient's treatment group assignment because of an adverse event or for any other reason.</p>
<p>If a patient's dosage is reduced or if a patient is discontinued from the study because of any significant laboratory abnormality, inadequate response to treatment, or any other reason, the circumstances and data leading to any such dosage reduction or discontinuation must be reported and clearly documented by study site personnel on the clinical report form.</p>
<p>An event that may be considered an unanticipated benefit to the patient (for example, sleeping longer) should be reported to CRO as an adverse event on the clinical report form. “Unanticipated benefit” is a COSTART classification term. In cases where the investigator notices an unanticipated benefit to the patient, study site personnel should enter the actual term such as “sleeping longer,” and code “unanticipated benefit” in the clinical report form adverse event section.</p>
<p>Solicited adverse events from the skin rash questionnaire (see Section 3.9.3.4) should be reported on the questionnaire only and not also on the adverse event clinical report form</p>"
3.9.3.2.2.,,Serious Adverse Events,"<p>Study site personnel must report to CRO immediately, by telephone, any adverse event from this study that is alarming or that:</p>
<p>• Results in death</p>
<p>• Results in initial or prolonged inpatient hospitalization</p>
<p>• Is life-threatening</p>
<p>• Results in severe or permanent disability</p>
<p>• Results in cancer [(other than cancers diagnosed prior to enrollment in<br/>
studies involving patients with cancer)]</p>
<p>• Results in a congenital anomaly</p>
<p>• Is a drug overdose</p>
<p><span class=""s26"">•</span> Is significant for any other reason.</p>
<p>Definition of <i>overdose</i>: For a drug under clinical investigation, an overdose is any intentional or unintentional consumption of the drug (by any route) that exceeds the dose recommended in the Clinical Investigator's Brochure or in an investigational protocol, whichever dose is larger. For a marketed drug, a drug overdose is any intentional or unintentional consumption of the drug (by any route) that exceeds the dose listed in product labeling, even if the larger dose is prescribed by a physician.</p>"
3.9.3.3.,,Clinical Laboratory Tests,"<p>Table LZZT.1 lists the clinical laboratory tests that will be performed at Visit 1.</p>
<p class=""p10""><b>Table LZZT.1. Laboratory Tests Performed at Admission (Visit 1)</b></p>
<p><b>Hematology: Clinical Chemistry Serum Concentrations of:</b></p>
<p>Hemoglobin<br/>
Hematocrit<br/>
Erythrocyte count (RBC)<br/>
Mean cell volume (MCV)<br/>
Mean cell hemoglobin (MCH)<br/>
Mean cell hemoglobin concentration (MCHC)<br/>
Leukocytes (<span class=""s9"">W</span>BC)<br/>
Neutrophils, segmented<br/>
Neutrophils, juvenile (bands)<br/>
Lymphocytes<br/>
Monocytes<br/>
Eosinophils<br/>
Basophils<br/>
Platelet<br/>
Cell morphology</p>
<p><b>Urinalysis:</b></p>
<p>Color<br/>
Specific gravity<br/>
pH<br/>
Protein<br/>
Glucose<br/>
Ketones<br/>
Bilirubin<br/>
Urobilinogen<br/>
Blood<br/>
Nitrite<br/>
Microscopic examination of sediment</p>
<p>Sodium<br/>
Potassium<br/>
Bicarbonate<br/>
Chloride<br/>
Total bilirubin<br/>
Alkaline phosphatase (ALP)<br/>
Gamma-glutamyl transferase (GGT)<br/>
Alanine transaminase (ALT/SGPT)<br/>
Aspartate transaminase (AST/SGOT)<br/>
Blood urea nitrogen (BUN)<br/>
Serum creatinine<br/>
Uric acid<br/>
Phosphorus<br/>
Calcium<br/>
Glucose, nonfasting<br/>
Total protein<br/>
Albumin<br/>
Cholesterol<br/>
Creatine kinase (CK)</p>
<p><b>Thyroid Function Test (Visit 1 only):</b></p>
<p>Free thyroid index<br/>
T 3 Uptake<br/>
T 4<br/>
Thyroid-stimulating hormone (TSH)</p>
<p><b>Other Tests (Visit 1 only):</b></p>
<p>Folate<br/>
Vitamin B <span class=""s41"">1</span>2<br/>
Syphilis screening<br/>
Hemoglobin A <span class=""s41"">1</span>C (IDDM patients only)</p>
<p>Laboratory values that fall outside a clinically accepted reference range or values that differ significantly from previous values must be evaluated and commented on by the investigator by marking CS (for clinically significant) or NCS (for not clinically significant) next to the values. Any clinically significant laboratory values that are outside a clinically acceptable range or differ importantly from a previous value should be further commented on in the clinical report form comments page.</p>
<p>Hematology, and clinical chemistry will also be performed at Visits 4, 5, 7, 8, 9, 10, 11, 12, and 13. Patients that experience a rash and/or eosinophilia may have additional hematology samples obtained as described in 3.9.3.4 (Other Safety Measures).</p>
<p>Urinalysis will also be performed at Visits 4, 9, and 12. The following criteria have been developed to monitor hepatic function.</p>
<p>• Patients with ALT/SGPT levels &gt;120 IU will be retested weekly.</p>
<p>• Patients with ALT/SGPT values &gt;400 IU, or alternatively, an elevated<br/>
ALT/SGPT accompanied by GGT and/or ALP values &gt;500 IU will be<br/>
retested within 2 days. The sponsor's clinical research administrator or<br/>
clinical research physician is to be notified. If the retest value does not<br/>
decrease by at least 10%, the study drug will be discontinued; additional<br/>
laboratory tests will be performed until levels return to normal. If the<br/>
retest value does decrease by 10% or more, the study drug may be<br/>
continued with monitoring at 3 day intervals until ALT/SGPT values<br/>
decrease to &lt;400 IU or GGT and/or ALP values decrease to &lt;500 IU.<br/>
<span class=""s39""><b>3.9.3.4</b></span><span class=""s40""><b>.</b></span> <span class=""s39""><b>Othe</b></span><span class=""s40""><b>r</b></span> <span class=""s39""><b>Safet</b></span><span class=""s40""><b>y</b></span> <span class=""s39""><b>Measure</b></span><span class=""s40""><b>s</b></span><br/>
<b>Patients experiencing Rash and/or Eosinophilia</b></p>
<p>The administration of placebo and xanomeline TTS is associated with a rash and/or eosinophilia in some patients. The rash is characterized in the following ways:</p>
<p>• The rash is confined to sites of application.</p>
<p>• The rash may be associated with pruritus.</p>
<p>• In 5% of cases of rash observed in the Interim Analysis, blistering has<br/>
been observed.</p>
<p>• The onset of rash may occur at any time during the course of the study.</p>
<p>• A moderate eosinophilia (0.6-1.5 x 10<span class=""s42"">3</span> /microliter) is associated with rash<br/>
and has been noted in approximately 10% of patients.</p>
<p>It does not appear that the rash constitutes a significant safety risk; however, it could affect the well-being of the patients. The following monitoring is specified:</p>
<p><b>Skin Rash Follow-up</b></p>
<p>For patients who exit the study or its extension with rash at the site(s) of application:</p>
<p>a)  Approximately 2 weeks after the last visit, the study site personnel<br/>
should contact the patient/caregiver by phone and complete the skin<br/>
rash questionnaire. (Note: those patients with rash who have<br/>
previously exited the study or its extension should be contacted at<br/>
earliest convenience.)</p>
<p>b)  If caregiver states unequivocally that skin problems have completely<br/>
resolved, no further follow-up is needed.</p>
<p>c)  If caregiver reports scarring and/or other problems, patient should<br/>
return to clinic for a follow-up visit. The skin rash questionnaire<br/>
should again be completed. If in the opinion of the investigator,<br/>
further follow-up is required, contact the CRO medical monitor.<br/>
Completed skin rash questionnaires should be faxed to CRO.</p>
<p>Completion of the questionnaires will create a separate data set for solicited adverse events. In completing these forms please note the following:</p>
<p>1. Solicited events (events discovered as result of completion of follow-up<br/>
questionnaires) should be reported on questionnaire page only.</p>
<p>2. Spontaneously reported adverse events (events presented by the patient<br/>
without direct questioning of the event) should be reported as described in</p>
<p>3.9.3.2 .1 (Adverse Event Reporting Requirements).</p>
<p>Serious adverse events should be handled and reported as described in 3.9.3.2.1 without regard to whether the event is solicited or spontaneously reported.</p>
<p><b>Eosinophilia Follow-up</b></p>
<p>1. For patients that are currently in the study with eosinophil counts greater than</p>
<p>0. 6x10 <span class=""s28"">3</span> /microliter:</p>
<p>• Repeat hematology at each visit until resolved in the opinion of the<br/>
investigator.</p>
<p>2. For patients that are currently in the study with eosinophil counts greater than</p>
<p>1. 5x10 <span class=""s28"">3</span> /microliter:</p>
<p>• Obtain hematology profile every 2 weeks until resolved or explained<br/>
by other causes in the opinion of the investigator.</p>
<p>• Notify CRO medical monitor.</p>
<p>3. For patients with eosinophil counts greater than 0.6x10 <span class=""s28"">3</span> /microliter at exit<br/>
from the study or its extension:</p>
<p>• Obtain hematology profile approximately every 2 weeks until resolved<br/>
or, in the opinion of the investigator, explained by other causes. (Note:<br/>
patients with eosinophil counts greater than 0.6x10 <span class=""s28"">3</span> /microliter who<br/>
have previously exited the study or its extension should return for<br/>
hematology profile at earliest convenience.)</p>"
3.9.3.4.1,,Vital Sign Determination,"<p>Patient should lie supine quietly for at least 5 minutes prior to vital signs measurement. Blood pressure should be measured in the dominant arm with a standardized mercury manometer according to the American Heart Association standard recommendations. Diastolic blood pressure will be measured as the point of disappearance of the Korotkoff</p>
<p>sounds (phase V). Heart rate will be measured by auscultation. Patient should then stand up. Blood pressure should again be measured in the dominant arm and heart rate should be measured after approximately 1 and 3 minutes.</p>
<p>An automated blood pressure cuff may be used in place of a mercury manometer if it is regularly (at least monthly) standardized against a mercury manometer.</p>"
3.9.3.4.2.Cardiovascular,,Safety Measures,"<p>Cardiovascular status will be assessed during the trial with the following measures:</p>
<p>• All patients will be screened by obtaining a 12-lead ECG, and will have<br/>
repeat ECGs performed at Visits 4, 5, 7, 8, 9, 10, 11, 12, 13, and early<br/>
termination (ET) (see Schedule of Events, Attachment LZZT.1).</p>
<p>• All patients will undergo a 24-hour Ambulatory ECG at Visit 2 (prior to<br/>
the initiation of study medication). Although every effort will be made to<br/>
obtain the entire 24-hour ambulatory ECG recording, this may not always<br/>
be feasible because of patient behavior or technical difficulties. The<br/>
minimal recording period for an ambulatory ECG to be considered<br/>
interpretable will be 8 hours, of which at least 3 hours must be sleep.</p>
<p>• The incidence of syncope, defined as an observed loss of consciousness<br/>
and muscle tone not attributable to transient ischemic attack or to seizure,<br/>
will be closely monitored. Caregivers will be instructed to report any<br/>
instance of syncopal episodes to the investigator within 24 hours. The<br/>
investigator should immediately report such events to the CRO research<br/>
physician. The CRO research physician will make a clinical assessment<br/>
of each episode, and with the investigator determine if continuation of<br/>
therapy is appropriate. These findings will be reported to the Lilly<br/>
research physician immediately.</p>"
3.9.4.,,Safety Monitoring,"<p>The CRO research physician will monitor safety data throughout the course of the study.</p>
<p>Cardiovascular measures, including ECGs and 24-hour Ambulatory ECGs (see Section 3.9.3.4.2) will be monitored on an ongoing basis as follows:</p>
<p>• As noted in Section 3.9.3.4.2, all patients will be screened by obtaining a<br/>
12-lead ECG, and will have repeat ECGs performed at Visits 4, 5, 7, 8, 9,<br/>
10, 11, 12, 13, and early termination (ET) (see Schedule of Events for<br/>
Protocol H2Q-MC-LZZT(c), Attachment LZZT.1). ECG data will be<br/>
interpreted at the site and express mailed overnight to a central facility<br/>
which will produce a report within 48 hours. The report will be forwarded<br/>
to the investigator. At screening, the report of the central facility will be<br/>
used to exclude patients according to criteria specified in Section 3.4.2.2.<br/>
If, during the treatment phase of the study, review of ECG data (either at<br/>
the site or at the central facility) reveals left bundle branch block,<br/>
bradycardia <span class=""s23"">≤</span>50 beats per minute, sinus pauses &gt;2 seconds, second degree<br/>
heart block, third degree heart block, Wolff-Parkinson-White syndrome,<br/>
sustained supraventricular tachyarrhythmia, or ventricular tachycardia at a<br/>
rate of <span class=""s23"">≥</span>120 beats per minute lasting <span class=""s23"">≥</span>10 seconds, the investigator, the<br/>
Lilly research physician, the CRO research physician, and the cardiologist<br/>
chairing the DSMB will be notified immediately, and discontinuation of<br/>
the patient will be considered.</p>
<p>• As noted in Section 3.9.3.4.2, all patients will undergo a 24-hour<br/>
Ambulatory ECG at Visit 2 (prior to the initiation of study medication).<br/>
Ambulatory ECG data from Visit 2 will be express mailed overnight to a<br/>
central facility which will produce a report within 24 hours. The report<br/>
will be forwarded to the investigator. If a report documents sustained<br/>
ventricular tachycardia with rate <span class=""s43"">&gt;</span><span class=""s44"">12</span><span class=""s45"">0</span> beats per minute, third degree heart<br/>
block, or sinus pauses of <span class=""s43"">&gt;</span><span class=""s44"">6.</span><span class=""s45"">0</span> seconds, the investigator, the Lilly research<br/>
physician, the CRO research physician, and the cardiologist chairing the<br/>
DSMB will be notified immediately, and the patient will be discontinued.<br/>
If any report documents sinus pauses of <span class=""s43"">&gt;</span><span class=""s44"">3.</span><span class=""s45"">0</span> seconds or second degree<br/>
heart block, the CRO research physician, and Lilly research physician, and<br/>
cardiologist chairing the DSMB will be immediately notified and the<br/>
record will be reviewed within 24 hours of notification by the cardiologist<br/>
chairing the DSMB.</p>
<p>In addition to ongoing monitoring of cardiac measures, a comprehensive, periodic review of cardiovascular safety data will be conducted by the DSMB, which will be chaired by an external cardiologist with expertise in arrhythmias, their pharmacological bases, and their clinical implications. The membership of the board will also include two other external cardiologists, a cardiologist from Lilly, a statistician from Lilly, and the Lilly research physician. Only the three external cardiologists will be voting members.</p>
<p>After approximately 75 patients have completed 1 month of treatment, the DSMB will meet to decide:</p>
<p>• If discontinuation of the study or any treatment arm is appropriate</p>
<p>• If additional cardiovascular monitoring is required</p>
<p>• If further cardiovascular monitoring is unnecessary</p>
<p>• If adjustment of dose within a treatment arm (or arms) is appropriate.</p>
<p>If necessary, this analysis will be repeated after 150 patients have completed 1 month of treatment, after 225 patients have completed 1 month of treatment, and after 300 patients have completed 1 month of treatment. Primary consideration will be given to the frequency of pauses documented in Ambulatory ECG reports. The number of pauses greater than or equal to 2, 3, 4, 5, and 6 seconds will be tabulated. Primary analysis will focus on the number of pauses greater than or equal to 3 seconds.</p>
<p>In the event of a high incidence of patient discontinuation due to syncope, the following guideline may be employed by the DSMB in determining if discontinuation of any treatment arm is appropriate. If the frequency of syncope in a xanomeline treatment arm relative to the frequency of syncope in the placebo arm equals or exceeds the following numbers, then consideration will be given to discontinuing that treatment arm. The Type I error rate for this rule is approximately 0.032 if the incidence in each group is 0.04. The power of this rule is 0.708 if the incidence is 0.04 for placebo and 0.16 for xanomeline TTS.</p>
<p>Placebo Xanomeline Placebo Xanomeline</p>
<p>0 6</p>
<p>1 7</p>
<p>2 9</p>
<p>3 11</p>
<p>4 12</p>
<p>5 13</p>
<p>6<br/>
7<br/>
8<br/>
9<br/>
10<br/>
X</p>
<p>15<br/>
16<br/>
17<br/>
18<br/>
20<br/>
2X (2-fold)</p>
<p>This rule has been used in other studies for monitoring spontaneous events with an incidence of less than 10%. This rule is constructed assuming a 2-group comparison with each group having a final sample size of 100. Unblinding which occurs during these analyses will be at the group level and will be documented.</p>
<p>The stopping rule based on Ambulatory ECG findings is as follows:</p>
<p>If the number of patients experiencing a pause of <span class=""s23"">≥</span>6 seconds in a xanomeline treatment arm relative to the number of patients in the placebo arm equals or exceeds the numbers in the following table, then that treatment arm will be discontinued. The Type I error rate for this rule is approximately 0.044 if the incidence in each group is 0.01. The power of this rule is 0.500 if the incidence is 0.01 for placebo and 0.04 for xanomeline TTS.</p>
<p>Placebo Xanomeline</p>
<p>0 1 2 3 4 x</p>
<p>3<br/>
5<br/>
6<br/>
7<br/>
8<br/>
2x</p>"
3.9.5.,,Appropriateness and Consistency of Measurements,<p>The medications and efficacy measurements have been used in other studies in elderly subjects and patients.</p>
3.10.,,Patient Disposition Criteria,
3.10.1.,,Discontinuations,"<p>Participation in the study shall be terminated for any patient who is unable or unwilling to comply with the study protocol or who develops a serious adverse event.</p>
<p>In addition, patients may be discontinued for any of the following reasons:</p>
<p>• In the opinion of the investigator, a significant adverse event occurs or the<br/>
safety of the patient is otherwise compromised.</p>
<p>• The patient requests to be withdrawn from the study.</p>
<p>• The physician in charge of the study or Lilly, for any reason stops the<br/>
patient's participation in the study.</p>
<p>If a patient's participation terminates early, an early termination visit should be scheduled. Upon decision to discontinue a patient from the study, the patient's dose should be titrated down by instructing the patient to immediately remove the 25-cm2 patch. Patients should be instructed to continue to apply a 50-cm2 patch daily until the early termination visit, at which time the drug will be discontinued. Physical exam, vital signs, temperature, use of concomitant medications, chemistry/hematology/urinalysis labs, xanomeline plasma sample, TTS acceptability survey, efficacy measures, adverse events, and an ECG will be collected at the early termination visit.</p>
<p>In the event that a patient's participation or the study itself is terminated, the patient shall return all study drug(s) to the investigator.</p>"
3.10.1.1.,,Retrieval of Discontinuations,"<p>If possible, patients who have terminated early will be retrieved on the date which would have represented Visit 12 (Week 24). Vital signs, temperature, use of concomitant medications, adverse events, and efficacy measure assessment will be gathered at this visit. If the patient is not retrievable, this will be documented in the source record.</p>"
3.10.2.,,Qualifications for Analysis,"<p>All patients who are enrolled in the study will be included in the efficacy analysis and the safety analysis. Patients will not be excluded from the efficacy analysis for reasons such as non-compliance or ineligibility, except for the time period immediately preceding the efficacy assessment (see Section 3.9.1.2).</p>"
3.10.3.,,Study Extensions,"<p>Patients who successfully complete the study will be eligible for participation in an openlabel extension phase, where every patient will be treated with active agent. The patients who elect to participate in the open-label extension phase will be titrated to their maximally titrated dose. This open-label extension phase will continue until the time the product becomes marketed and is available to the public or until the project is discontinued by the sponsor. Patients may terminate at any time at their request.</p>"
3.10.3.1.,,Compliance,"<p>Because patients enrolled in this study will be outpatients, the knowledge that patients have taken the medication as prescribed will be assured in the following ways:</p>
<p>a)  Investigators will attempt to select those patients and caregivers who<br/>
have been judged to be compliant.</p>
<p>b)  Study medication including unused, partially used, and empty patch<br/>
containers will be returned at each clinical visit so that the remaining<br/>
medication can be counted by authorized investigator staff (nurse,<br/>
pharmacist, or physician). The number of patches remaining will be<br/>
recorded on the CRF.</p>
<p>c)  Following randomization at Visit 3, patients will be instructed to call<br/>
the site if they have difficulty with application or wearing of patches. If<br/>
daily doses are reduced, improperly administered, or if a patch becomes<br/>
detached and requires application of a new patch on three or more days<br/>
in any 30-day period, the CRO research physician will be notified.</p>
<p>If the daily dose is reduced or improperly administered in the 24 hours prior to any scheduled clinic visit, the visit should be rescheduled (except for early termination and retrieval visits).</p>"
3.11.,,Quality Assurance,"<p>To ensure both the safety of participants in the study, and the collection of accurate, complete, and reliable data, Lilly or its representatives will perform the following activities:</p>
<p>• Provide instructional material to the study sites, as appropriate.</p>
<p>• Sponsor a start-up training session to instruct the investigators and study<br/>
coordinators. This session will give instruction on the protocol, the<br/>
completion of the clinical report forms, and study procedures.</p>
<p>• Make periodic visits to the study site.</p>
<p>• Be available for consultation and stay in contact with the study site<br/>
personnel by mail, telephone, and/or fax.</p>
<p>• Review and evaluate clinical report form data and use standard computer<br/>
edits to detect errors in data collection.</p>
<p>To ensure the safety of participants in the study and to ensure accurate, complete, and reliable data, the investigator will do the following:</p>
<p>• Keep records of laboratory tests, clinical notes, and patient medical<br/>
records in the patient files as original source documents for the study.</p>
<p>Lilly or its representatives may periodically check a sample of the patient data recorded against source documents at the study site. The study may be audited by Lilly Medical Quality Assurance (MQA) and/or regulatory agencies at any time. Investigators will be given notice before an MQA audit occurs.</p>"
4.,,Data Analysis Methods,
4.1.,,General Considerations,"<p>In general, all patients will be included in all analyses of efficacy if they have a baseline measurement and at least one postrandomization measurement. Refer to Section 3.9.1.2. for a discussion of which specific efficacy data will be included in the primary analysis.</p>
<p>In the event that the doses of xanomeline TTS are changed after the study starts, the analysis will be of three treatment groups (high dose, low dose, and placebo), even though patients within the high dose treatment group, for example, may not all be at exactly the same dose. Also, if the dose is changed midway through the study, the mean dose within each group will be used in the dose response analysis described in Section 4.3.3.</p>
<p>All analyses described below will be conducted using the most current production version of SAS® available at the time of analysis.</p>"
4.2.,,"Demographics and Patient Characteristics Measured at
Baseline","<p>All measures (for example, age, gender, origin) obtained at either Visits 1, 2, or 3, prior to randomization, will be summarized by treatment group and across all treatment groups. The groups will be compared by analysis of variance (ANOVA) for continuous variables and by Pearson's chi-square test for categorical variables. Note that because patients are randomized to 1 of the 3 treatment groups, any statistically significant treatment group differences are by definition a Type I error; however, the resulting p-values will be used as another descriptive statistic to help focus possible additional analyses (for example, analysis of covariance, subset analyses) on those factors that are most imbalanced (that is, that have the smallest p-values).</p>"
4.3.,,Efficacy Analyses,
